date,value,up&down,10,20,30,60
2022-10-31,0.6499,-1.25,0.70465,0.75118,0.7684866666666667,0.7966933333333334
2022-11-01,0.6943,6.83,0.6975,0.744055,0.76454,0.7942766666666667
2022-11-02,0.7102,2.29,0.69435,0.738025,0.7613966666666666,0.7923483333333333
2022-11-03,0.701,-1.3,0.6895800000000001,0.7316800000000001,0.7577733333333333,0.79031
2022-11-04,0.7374,5.19,0.68954,0.72732,0.756,0.78861
2022-11-07,0.7394,0.27,0.6940500000000001,0.72527,0.7539733333333334,0.7868816666666667
2022-11-08,0.7281,-1.53,0.6975399999999999,0.722585,0.7511433333333333,0.7850533333333334
2022-11-09,0.7173,-1.48,0.69987,0.719615,0.74826,0.7830466666666667
2022-11-10,0.7258,1.18,0.7061499999999999,0.71767,0.7460600000000001,0.7813800000000001
2022-11-11,0.7464,2.84,0.7149800000000001,0.715865,0.7444033333333333,0.7798283333333333
2022-11-14,0.7395,-0.92,0.72394,0.7142950000000001,0.7421000000000001,0.77801
2022-11-15,0.7579,2.49,0.7303,0.7139,0.7394700000000001,0.7766366666666666
2022-11-16,0.7605,0.34,0.73533,0.71484,0.7371266666666667,0.7753983333333333
2022-11-17,0.7519,-1.13,0.74042,0.7150000000000001,0.7345933333333333,0.7739066666666666
2022-11-18,0.7546,0.36,0.7421399999999999,0.71584,0.73226,0.7726966666666667
2022-11-21,0.7337,-2.77,0.7415700000000001,0.7178100000000001,0.7307033333333333,0.7711816666666668
2022-11-22,0.737,0.45,0.74246,0.72,0.72921,0.7696783333333332
2022-11-23,0.7328,-0.57,0.7440100000000001,0.72194,0.7277466666666668,0.7683216666666667
2022-11-24,0.7241,-1.19,0.74384,0.7249950000000001,0.7263933333333334,0.76692
2022-11-25,0.7233,-0.11,0.74153,0.728255,0.7244200000000001,0.7652083333333334
2022-11-28,0.7242,0.12,0.74,0.73197,0.7228633333333333,0.763315
2022-11-29,0.7568,4.5,0.7398899999999999,0.735095,0.7225633333333333,0.7621416666666666
2022-11-30,0.7542,-0.34,0.73926,0.737295,0.72298,0.7609883333333334
2022-12-01,0.7798,3.39,0.7420500000000001,0.741235,0.7240166666666668,0.7599816666666666
2022-12-02,0.7798,0.0,0.7445700000000001,0.743355,0.7254166666666667,0.7592183333333333
2022-12-05,0.7939,1.81,0.75059,0.7460800000000001,0.7287366666666666,0.7589133333333333
2022-12-06,0.8178,3.01,0.7586700000000001,0.750565,0.73289,0.7592949999999999
2022-12-07,0.8176,-0.02,0.76715,0.7555799999999999,0.7370099999999999,0.7595916666666668
2022-12-08,0.8213,0.45,0.7768700000000001,0.760355,0.7422866666666667,0.7601233333333333
2022-12-09,0.8479,3.24,0.78933,0.76543,0.7486133333333334,0.7610633333333333
2022-12-12,0.835,-1.52,0.80041,0.770205,0.7547833333333334,0.7616350000000001
2022-12-13,0.8459,1.31,0.8093199999999999,0.774605,0.7598366666666667,0.7621883333333334
